timestamp,station_id,power_demand_kw,generator_output_kw,energy_consumption_kwh,battery_soc_percent,battery_charge_kw,battery_discharge_kw,fuel_consumption_l,temperature_c,humidity_percent,pressure_hpa,wind_speed_mps,sensor_anomaly_score,sensor_anomaly_status,sensor_anomaly_type,event_type,source,data_quality,target_power_demand_1h_kw,target_battery_soc_1h_percent,target_energy_demand_6h_kwh,target_energy_demand_24h_kwh,target_energy_deficit_risk,split
2026-01-01T00:00:00Z,BRT,66.87,71.87,66.87,76.58,5.0,0.0,20.16,-5.75,59.0,979.36,9.84,1.3825,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,64.19,78.17,367.77,1647.31,0.0,train
2026-01-01T01:00:00Z,BRT,64.19,69.19,64.19,78.17,5.0,0.0,19.47,-5.01,58.95,980.01,10.5,0.8699,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,62.96,79.75,373.61,1643.67,0.0,train
2026-01-01T02:00:00Z,BRT,62.96,67.96,62.96,79.75,5.0,0.0,19.15,-3.98,54.79,977.26,12.35,6.6815,ANOMALY,SPIKE,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,57.92,81.33,382.79,1639.81,0.0,train
2026-01-01T03:00:00Z,BRT,57.92,62.92,57.92,81.33,5.0,0.0,17.85,-3.44,64.02,987.32,12.47,1.0657,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,62.8,82.92,395.66,1640.25,0.0,train
2026-01-01T04:00:00Z,BRT,62.8,67.8,62.8,82.92,5.0,0.0,19.11,-3.65,66.17,983.48,12.76,0.4544,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,58.96,84.5,406.03,1633.46,0.0,train
2026-01-01T05:00:00Z,BRT,58.96,63.96,58.96,84.5,5.0,0.0,18.12,-3.55,56.84,986.78,14.12,1.2101,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,60.94,86.08,421.7,1631.07,0.0,train
2026-01-01T06:00:00Z,BRT,60.94,65.94,60.94,86.08,5.0,0.0,18.63,-3.39,58.22,984.66,14.52,1.1535,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,70.03,87.67,433.68,1630.3,0.0,train
2026-01-01T07:00:00Z,BRT,70.03,75.03,70.03,87.67,5.0,0.0,20.98,-0.86,56.29,979.46,14.25,0.9332,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,72.14,89.25,436.23,1628.87,0.0,train
2026-01-01T08:00:00Z,BRT,72.14,77.14,72.14,89.25,5.0,0.0,21.53,1.41,55.82,980.94,13.8,0.8191,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,70.79,90.83,437.49,1626.57,0.0,train
2026-01-01T09:00:00Z,BRT,70.79,75.79,70.79,90.83,5.0,0.0,21.18,1.4,57.35,986.94,13.46,1.2414,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,73.17,92.42,437.24,1627.47,0.0,train
2026-01-01T10:00:00Z,BRT,73.17,78.17,73.17,92.42,5.0,0.0,21.8,1.38,54.38,981.75,13.65,1.1341,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,74.63,94.0,440.24,1624.71,0.0,train
2026-01-01T11:00:00Z,BRT,74.63,79.63,74.63,94.0,5.0,0.0,22.18,2.48,54.15,978.83,14.55,0.5537,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,72.92,95.58,438.9,1618.07,0.0,train
2026-01-01T12:00:00Z,BRT,72.92,77.92,72.92,95.58,5.0,0.0,21.73,2.45,52.17,978.51,15.16,1.2799,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,72.58,97.17,437.17,1621.5,0.0,train
2026-01-01T13:00:00Z,BRT,72.58,77.58,72.58,97.17,5.0,0.0,21.65,1.73,60.19,983.56,15.18,0.9186,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,73.4,98.0,437.4,1624.0,0.0,train
2026-01-01T14:00:00Z,BRT,73.4,76.04,73.4,98.0,2.63,0.0,21.24,2.92,52.68,975.56,15.87,0.9146,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,70.54,98.0,439.61,1622.97,0.0,train
2026-01-01T15:00:00Z,BRT,70.54,70.54,70.54,98.0,0.0,0.0,19.82,2.97,53.8,982.37,16.99,1.098,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,76.17,98.0,439.67,1629.48,0.0,train
2026-01-01T16:00:00Z,BRT,76.17,76.17,76.17,98.0,0.0,0.0,21.28,0.98,59.74,981.34,16.74,0.5073,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,73.29,98.0,431.77,1632.57,0.0,train
2026-01-01T17:00:00Z,BRT,73.29,73.29,73.29,98.0,0.0,0.0,20.53,2.66,57.18,979.66,16.5,0.8703,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,71.19,98.0,422.37,1638.0,0.0,train
2026-01-01T18:00:00Z,BRT,71.19,71.19,71.19,98.0,0.0,0.0,19.99,2.29,62.13,980.89,16.69,1.0712,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,72.81,98.0,408.69,1643.33,0.0,train
2026-01-01T19:00:00Z,BRT,72.81,72.81,72.81,98.0,0.0,0.0,20.41,1.65,65.13,977.57,20.36,0.3583,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,75.61,98.0,396.43,1647.26,0.0,train
2026-01-01T20:00:00Z,BRT,75.61,75.61,75.61,98.0,0.0,0.0,21.13,1.11,50.54,979.83,19.11,1.135,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,70.6,98.0,379.92,1648.55,0.0,train
2026-01-01T21:00:00Z,BRT,70.6,70.6,70.6,98.0,0.0,0.0,19.83,2.14,59.07,976.22,21.23,0.6098,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,68.27,98.0,367.68,1655.37,0.0,train
2026-01-01T22:00:00Z,BRT,68.27,68.27,68.27,98.0,0.0,0.0,19.23,4.14,61.84,973.62,20.57,0.5925,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,63.89,98.0,355.42,1660.11,0.0,train
2026-01-01T23:00:00Z,BRT,63.89,63.89,63.89,98.0,0.0,0.0,18.1,1.27,61.38,975.6,20.24,0.8007,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,57.51,98.0,348.1,1659.39,0.0,train
2026-01-02T00:00:00Z,BRT,57.51,57.51,57.51,98.0,0.0,0.0,16.47,0.71,60.92,977.75,19.53,1.3562,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,60.55,98.0,350.76,1667.37,0.0,train
2026-01-02T01:00:00Z,BRT,60.55,60.55,60.55,98.0,0.0,0.0,17.24,2.02,57.98,974.33,18.38,0.8686,NORMAL,NORMAL,NORMAL,SYNTHETIC_POLARIX_OPERATIONAL,GOOD,59.1,98.0,358.81,1674.13,0.0,train
