timestamp,station_id,temperature_c,humidity_percent,pressure_hpa,wind_speed_mps,hour,day_of_year,sin_hour,cos_hour,sin_day,cos_day,target_temperature_1h_c,target_temperature_6h_c,target_temperature_24h_c
2026-01-01T00:00:00Z,BRT,6.31,86.1,980.5,15.81,0,1,0.0,1.0,0.0172,0.99985,7.67,7.65,6.07
2026-01-01T01:00:00Z,BRT,7.67,81.3,983.0,14.42,1,1,0.25882,0.96593,0.0172,0.99985,6.67,7.93,5.84
2026-01-01T02:00:00Z,BRT,6.67,80.4,984.6,15.66,2,1,0.5,0.86603,0.0172,0.99985,6.84,6.73,6.51
2026-01-01T03:00:00Z,BRT,6.84,87.0,984.8,14.14,3,1,0.70711,0.70711,0.0172,0.99985,7.39,5.91,8.23
2026-01-01T04:00:00Z,BRT,7.39,82.2,985.2,9.99,4,1,0.86603,0.5,0.0172,0.99985,8.03,5.65,8.92
2026-01-01T05:00:00Z,BRT,8.03,79.9,985.5,10.55,5,1,0.96593,0.25882,0.0172,0.99985,7.65,4.88,8.93
2026-01-01T06:00:00Z,BRT,7.65,77.5,989.2,11.57,6,1,1.0,0.0,0.0172,0.99985,7.93,5.03,8.29
2026-01-01T07:00:00Z,BRT,7.93,71.6,992.4,9.94,7,1,0.96593,-0.25882,0.0172,0.99985,6.73,6.06,8.79
2026-01-01T08:00:00Z,BRT,6.73,78.4,992.4,12.82,8,1,0.86603,-0.5,0.0172,0.99985,5.91,7.36,8.97
2026-01-01T09:00:00Z,BRT,5.91,85.2,992.4,14.91,9,1,0.70711,-0.70711,0.0172,0.99985,5.65,5.48,8.3
2026-01-01T10:00:00Z,BRT,5.65,75.2,994.2,10.83,10,1,0.5,-0.86603,0.0172,0.99985,4.88,6.0,7.98
2026-01-01T11:00:00Z,BRT,4.88,73.7,994.6,8.19,11,1,0.25882,-0.96593,0.0172,0.99985,5.03,5.62,6.83
2026-01-01T12:00:00Z,BRT,5.03,74.5,994.3,11.53,12,1,0.0,-1.0,0.0172,0.99985,6.06,5.07,5.92
2026-01-01T13:00:00Z,BRT,6.06,71.8,997.2,9.77,13,1,-0.25882,-0.96593,0.0172,0.99985,7.36,4.65,5.4
2026-01-01T14:00:00Z,BRT,7.36,71.9,998.7,9.43,14,1,-0.5,-0.86603,0.0172,0.99985,5.48,4.35,4.6
2026-01-01T15:00:00Z,BRT,5.48,75.2,997.5,10.55,15,1,-0.70711,-0.70711,0.0172,0.99985,6.0,5.08,5.42
2026-01-01T16:00:00Z,BRT,6.0,77.5,1002.0,6.6,16,1,-0.86603,-0.5,0.0172,0.99985,5.62,5.64,8.04
2026-01-01T17:00:00Z,BRT,5.62,74.4,1003.8,9.02,17,1,-0.96593,-0.25882,0.0172,0.99985,5.07,5.75,7.01
2026-01-01T18:00:00Z,BRT,5.07,60.5,1005.2,11.75,18,1,-1.0,-0.0,0.0172,0.99985,4.65,6.07,7.43
2026-01-01T19:00:00Z,BRT,4.65,60.2,1006.8,6.14,19,1,-0.96593,0.25882,0.0172,0.99985,4.35,5.84,9.74
2026-01-01T20:00:00Z,BRT,4.35,60.0,1010.8,4.25,20,1,-0.86603,0.5,0.0172,0.99985,5.08,6.51,10.0
2026-01-01T21:00:00Z,BRT,5.08,46.4,1016.1,0.67,21,1,-0.70711,0.70711,0.0172,0.99985,5.64,8.23,9.2
2026-01-01T22:00:00Z,BRT,5.64,60.4,1013.9,5.18,22,1,-0.5,0.86603,0.0172,0.99985,5.75,8.92,7.97
2026-01-01T23:00:00Z,BRT,5.75,60.1,1014.7,5.61,23,1,-0.25882,0.96593,0.0172,0.99985,6.07,8.93,8.83
2026-01-02T00:00:00Z,BRT,6.07,50.1,1018.1,3.75,0,2,0.0,1.0,0.0344,0.99941,5.84,8.29,9.33
2026-01-02T01:00:00Z,BRT,5.84,44.6,1019.1,3.41,1,2,0.25882,0.96593,0.0344,0.99941,6.51,8.79,10.0
2026-01-02T02:00:00Z,BRT,6.51,53.3,1021.9,5.2,2,2,0.5,0.86603,0.0344,0.99941,8.23,8.97,10.0
2026-01-02T03:00:00Z,BRT,8.23,51.7,1022.7,2.09,3,2,0.70711,0.70711,0.0344,0.99941,8.92,8.3,9.17
2026-01-02T04:00:00Z,BRT,8.92,51.6,1021.1,1.78,4,2,0.86603,0.5,0.0344,0.99941,8.93,7.98,10.0
2026-01-02T05:00:00Z,BRT,8.93,44.6,1020.1,3.16,5,2,0.96593,0.25882,0.0344,0.99941,8.29,6.83,10.0
2026-01-02T06:00:00Z,BRT,8.29,59.6,1021.2,1.48,6,2,1.0,0.0,0.0344,0.99941,8.79,5.92,10.0
2026-01-02T07:00:00Z,BRT,8.79,48.5,1020.6,7.11,7,2,0.96593,-0.25882,0.0344,0.99941,8.97,5.4,9.55
2026-01-02T08:00:00Z,BRT,8.97,49.3,1021.5,0.2,8,2,0.86603,-0.5,0.0344,0.99941,8.3,4.6,9.71
2026-01-02T09:00:00Z,BRT,8.3,46.9,1020.3,3.9,9,2,0.70711,-0.70711,0.0344,0.99941,7.98,5.42,9.42
2026-01-02T10:00:00Z,BRT,7.98,57.4,1021.6,4.95,10,2,0.5,-0.86603,0.0344,0.99941,6.83,8.04,8.66
2026-01-02T11:00:00Z,BRT,6.83,56.5,1015.1,4.9,11,2,0.25882,-0.96593,0.0344,0.99941,5.92,7.01,8.49
2026-01-02T12:00:00Z,BRT,5.92,53.3,1015.0,2.53,12,2,0.0,-1.0,0.0344,0.99941,5.4,7.43,8.94
2026-01-02T13:00:00Z,BRT,5.4,52.8,1013.0,8.36,13,2,-0.25882,-0.96593,0.0344,0.99941,4.6,9.74,7.35
2026-01-02T14:00:00Z,BRT,4.6,61.4,1009.1,9.61,14,2,-0.5,-0.86603,0.0344,0.99941,5.42,10.0,8.77
2026-01-02T15:00:00Z,BRT,5.42,67.2,1006.2,8.29,15,2,-0.70711,-0.70711,0.0344,0.99941,8.04,9.2,7.79
2026-01-02T16:00:00Z,BRT,8.04,75.5,1004.8,31.41,16,2,-0.86603,-0.5,0.0344,0.99941,7.01,7.97,7.6
2026-01-02T17:00:00Z,BRT,7.01,63.5,1006.2,26.54,17,2,-0.96593,-0.25882,0.0344,0.99941,7.43,8.83,8.05
2026-01-02T18:00:00Z,BRT,7.43,74.0,1005.8,28.11,18,2,-1.0,-0.0,0.0344,0.99941,9.74,9.33,10.0
2026-01-02T19:00:00Z,BRT,9.74,63.5,1002.5,35.76,19,2,-0.96593,0.25882,0.0344,0.99941,10.0,10.0,10.0
2026-01-02T20:00:00Z,BRT,10.0,71.8,1002.8,34.31,20,2,-0.86603,0.5,0.0344,0.99941,9.2,10.0,10.0
2026-01-02T21:00:00Z,BRT,9.2,75.7,1004.6,33.26,21,2,-0.70711,0.70711,0.0344,0.99941,7.97,9.17,9.88
2026-01-02T22:00:00Z,BRT,7.97,74.6,1002.9,29.81,22,2,-0.5,0.86603,0.0344,0.99941,8.83,10.0,8.9
2026-01-02T23:00:00Z,BRT,8.83,76.0,1000.9,33.57,23,2,-0.25882,0.96593,0.0344,0.99941,9.33,10.0,4.09
2026-01-03T00:00:00Z,BRT,9.33,74.2,996.6,35.02,0,3,0.0,1.0,0.05158,0.99867,10.0,10.0,4.21
2026-01-03T01:00:00Z,BRT,10.0,82.3,998.1,32.57,1,3,0.25882,0.96593,0.05158,0.99867,10.0,9.55,4.66
2026-01-03T02:00:00Z,BRT,10.0,78.3,993.2,33.06,2,3,0.5,0.86603,0.05158,0.99867,9.17,9.71,6.57
2026-01-03T03:00:00Z,BRT,9.17,85.0,992.5,30.43,3,3,0.70711,0.70711,0.05158,0.99867,10.0,9.42,6.53
2026-01-03T04:00:00Z,BRT,10.0,78.5,992.7,32.65,4,3,0.86603,0.5,0.05158,0.99867,10.0,8.66,7.1
2026-01-03T05:00:00Z,BRT,10.0,85.2,993.2,30.54,5,3,0.96593,0.25882,0.05158,0.99867,10.0,8.49,7.88
2026-01-03T06:00:00Z,BRT,10.0,73.3,995.2,34.91,6,3,1.0,0.0,0.05158,0.99867,9.55,8.94,7.37
2026-01-03T07:00:00Z,BRT,9.55,82.0,995.0,32.8,7,3,0.96593,-0.25882,0.05158,0.99867,9.71,7.35,8.01
2026-01-03T08:00:00Z,BRT,9.71,82.3,991.6,37.18,8,3,0.86603,-0.5,0.05158,0.99867,9.42,8.77,7.95
2026-01-03T09:00:00Z,BRT,9.42,83.2,989.2,33.91,9,3,0.70711,-0.70711,0.05158,0.99867,8.66,7.79,7.0
2026-01-03T10:00:00Z,BRT,8.66,81.4,985.7,34.58,10,3,0.5,-0.86603,0.05158,0.99867,8.49,7.6,6.92
2026-01-03T11:00:00Z,BRT,8.49,99.0,984.6,34.66,11,3,0.25882,-0.96593,0.05158,0.99867,8.94,8.05,6.84
2026-01-03T12:00:00Z,BRT,8.94,92.4,984.6,36.46,12,3,0.0,-1.0,0.05158,0.99867,7.35,10.0,7.43
2026-01-03T13:00:00Z,BRT,7.35,83.3,985.8,33.52,13,3,-0.25882,-0.96593,0.05158,0.99867,8.77,10.0,8.05
2026-01-03T14:00:00Z,BRT,8.77,90.7,985.0,37.33,14,3,-0.5,-0.86603,0.05158,0.99867,7.79,10.0,6.21
2026-01-03T15:00:00Z,BRT,7.79,96.3,985.0,35.65,15,3,-0.70711,-0.70711,0.05158,0.99867,7.6,9.88,6.08
2026-01-03T16:00:00Z,BRT,7.6,90.8,985.3,37.04,16,3,-0.86603,-0.5,0.05158,0.99867,8.05,8.9,6.58
2026-01-03T17:00:00Z,BRT,8.05,90.8,984.3,38.16,17,3,-0.96593,-0.25882,0.05158,0.99867,10.0,4.09,7.4
2026-01-03T18:00:00Z,BRT,10.0,87.0,985.9,36.36,18,3,-1.0,-0.0,0.05158,0.99867,10.0,4.21,7.4
2026-01-03T19:00:00Z,BRT,10.0,87.0,985.0,39.84,19,3,-0.96593,0.25882,0.05158,0.99867,10.0,4.66,8.3
2026-01-03T20:00:00Z,BRT,10.0,88.6,985.5,34.53,20,3,-0.86603,0.5,0.05158,0.99867,9.88,6.57,7.5
2026-01-03T21:00:00Z,BRT,9.88,85.9,987.7,36.44,21,3,-0.70711,0.70711,0.05158,0.99867,8.9,6.53,6.67
2026-01-03T22:00:00Z,BRT,8.9,79.6,989.5,33.9,22,3,-0.5,0.86603,0.05158,0.99867,4.09,7.1,6.87
2026-01-03T23:00:00Z,BRT,4.09,85.3,986.2,11.65,23,3,-0.25882,0.96593,0.05158,0.99867,4.21,7.88,6.9
2026-01-04T00:00:00Z,BRT,4.21,73.8,988.9,12.9,0,4,0.0,1.0,0.06876,0.99763,4.66,7.37,6.8
2026-01-04T01:00:00Z,BRT,4.66,74.9,988.4,10.78,1,4,0.25882,0.96593,0.06876,0.99763,6.57,8.01,7.78
2026-01-04T02:00:00Z,BRT,6.57,88.4,983.0,15.17,2,4,0.5,0.86603,0.06876,0.99763,6.53,7.95,7.63
2026-01-04T03:00:00Z,BRT,6.53,79.3,983.5,12.8,3,4,0.70711,0.70711,0.06876,0.99763,7.1,7.0,8.89
2026-01-04T04:00:00Z,BRT,7.1,89.4,984.9,15.99,4,4,0.86603,0.5,0.06876,0.99763,7.88,6.92,9.38
