timestamp,station_id,temperature_c,humidity_percent,pressure_hpa,wind_speed_mps,hour,day_of_year,sin_hour,cos_hour,sin_day,cos_day,target_temperature_1h_c,target_temperature_6h_c,target_temperature_24h_c
2026-01-01T00:00:00Z,MTR,5.85,49.7,999.2,2.17,0,1,0.0,1.0,0.0172,0.99985,6.12,8.0,8.0
2026-01-01T01:00:00Z,MTR,6.12,44.0,1000.1,0.2,1,1,0.25882,0.96593,0.0172,0.99985,6.6,8.0,8.0
2026-01-01T02:00:00Z,MTR,6.6,48.0,1002.4,2.89,2,1,0.5,0.86603,0.0172,0.99985,7.52,8.0,8.0
2026-01-01T03:00:00Z,MTR,7.52,44.2,1001.3,2.05,3,1,0.70711,0.70711,0.0172,0.99985,8.0,8.0,8.0
2026-01-01T04:00:00Z,MTR,8.0,53.9,1000.2,6.72,4,1,0.86603,0.5,0.0172,0.99985,8.0,8.0,8.0
2026-01-01T05:00:00Z,MTR,8.0,46.8,1002.3,3.02,5,1,0.96593,0.25882,0.0172,0.99985,8.0,8.0,8.0
2026-01-01T06:00:00Z,MTR,8.0,44.8,1002.7,2.15,6,1,1.0,0.0,0.0172,0.99985,8.0,8.0,8.0
2026-01-01T07:00:00Z,MTR,8.0,44.8,1000.8,1.05,7,1,0.96593,-0.25882,0.0172,0.99985,8.0,8.0,8.0
2026-01-01T08:00:00Z,MTR,8.0,42.9,1000.7,3.42,8,1,0.86603,-0.5,0.0172,0.99985,8.0,6.27,8.0
2026-01-01T09:00:00Z,MTR,8.0,48.6,998.7,7.65,9,1,0.70711,-0.70711,0.0172,0.99985,8.0,6.77,8.0
2026-01-01T10:00:00Z,MTR,8.0,52.4,996.6,8.72,10,1,0.5,-0.86603,0.0172,0.99985,8.0,5.85,8.0
2026-01-01T11:00:00Z,MTR,8.0,49.4,995.9,5.14,11,1,0.25882,-0.96593,0.0172,0.99985,8.0,4.42,8.0
2026-01-01T12:00:00Z,MTR,8.0,57.5,991.2,7.3,12,1,0.0,-1.0,0.0172,0.99985,8.0,3.82,8.0
2026-01-01T13:00:00Z,MTR,8.0,66.0,987.0,10.25,13,1,-0.25882,-0.96593,0.0172,0.99985,6.27,4.54,8.0
2026-01-01T14:00:00Z,MTR,6.27,63.7,985.0,7.46,14,1,-0.5,-0.86603,0.0172,0.99985,6.77,4.52,8.0
2026-01-01T15:00:00Z,MTR,6.77,63.5,982.2,11.18,15,1,-0.70711,-0.70711,0.0172,0.99985,5.85,4.72,8.0
2026-01-01T16:00:00Z,MTR,5.85,54.0,981.8,15.29,16,1,-0.86603,-0.5,0.0172,0.99985,4.42,8.0,8.0
2026-01-01T17:00:00Z,MTR,4.42,75.7,979.2,12.96,17,1,-0.96593,-0.25882,0.0172,0.99985,3.82,8.0,8.0
2026-01-01T18:00:00Z,MTR,3.82,72.9,975.8,14.05,18,1,-1.0,-0.0,0.0172,0.99985,4.54,8.0,8.0
2026-01-01T19:00:00Z,MTR,4.54,72.8,977.6,14.66,19,1,-0.96593,0.25882,0.0172,0.99985,4.52,8.0,8.0
2026-01-01T20:00:00Z,MTR,4.52,75.8,976.2,14.23,20,1,-0.86603,0.5,0.0172,0.99985,4.72,8.0,8.0
2026-01-01T21:00:00Z,MTR,4.72,75.9,975.4,12.18,21,1,-0.70711,0.70711,0.0172,0.99985,8.0,8.0,8.0
2026-01-01T22:00:00Z,MTR,8.0,80.3,971.9,11.49,22,1,-0.5,0.86603,0.0172,0.99985,8.0,8.0,8.0
2026-01-01T23:00:00Z,MTR,8.0,84.1,970.2,14.17,23,1,-0.25882,0.96593,0.0172,0.99985,8.0,8.0,8.0
2026-01-02T00:00:00Z,MTR,8.0,82.9,969.7,12.67,0,2,0.0,1.0,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T01:00:00Z,MTR,8.0,67.0,966.9,14.97,1,2,0.25882,0.96593,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T02:00:00Z,MTR,8.0,84.1,967.0,13.76,2,2,0.5,0.86603,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T03:00:00Z,MTR,8.0,85.5,965.3,15.27,3,2,0.70711,0.70711,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T04:00:00Z,MTR,8.0,83.4,964.3,13.42,4,2,0.86603,0.5,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T05:00:00Z,MTR,8.0,89.2,962.8,15.5,5,2,0.96593,0.25882,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T06:00:00Z,MTR,8.0,84.2,965.9,16.69,6,2,1.0,0.0,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T07:00:00Z,MTR,8.0,81.9,965.4,17.34,7,2,0.96593,-0.25882,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T08:00:00Z,MTR,8.0,93.3,963.2,17.66,8,2,0.86603,-0.5,0.0344,0.99941,8.0,8.0,8.0
2026-01-02T09:00:00Z,MTR,8.0,87.0,964.4,15.6,9,2,0.70711,-0.70711,0.0344,0.99941,8.0,8.0,5.62
2026-01-02T10:00:00Z,MTR,8.0,89.0,962.0,17.4,10,2,0.5,-0.86603,0.0344,0.99941,8.0,8.0,5.99
2026-01-02T11:00:00Z,MTR,8.0,78.5,962.4,20.92,11,2,0.25882,-0.96593,0.0344,0.99941,8.0,8.0,4.86
2026-01-02T12:00:00Z,MTR,8.0,99.0,958.9,16.76,12,2,0.0,-1.0,0.0344,0.99941,8.0,8.0,4.69
2026-01-02T13:00:00Z,MTR,8.0,85.5,956.8,22.11,13,2,-0.25882,-0.96593,0.0344,0.99941,8.0,8.0,4.6
2026-01-02T14:00:00Z,MTR,8.0,94.7,957.6,15.74,14,2,-0.5,-0.86603,0.0344,0.99941,8.0,8.0,5.11
2026-01-02T15:00:00Z,MTR,8.0,93.5,959.4,14.6,15,2,-0.70711,-0.70711,0.0344,0.99941,8.0,8.0,5.74
2026-01-02T16:00:00Z,MTR,8.0,98.2,960.2,17.46,16,2,-0.86603,-0.5,0.0344,0.99941,8.0,8.0,5.65
2026-01-02T17:00:00Z,MTR,8.0,84.9,960.6,17.57,17,2,-0.96593,-0.25882,0.0344,0.99941,8.0,8.0,5.3
2026-01-02T18:00:00Z,MTR,8.0,84.9,960.6,15.36,18,2,-1.0,-0.0,0.0344,0.99941,8.0,8.0,4.71
2026-01-02T19:00:00Z,MTR,8.0,95.6,958.7,17.62,19,2,-0.96593,0.25882,0.0344,0.99941,8.0,8.0,5.57
2026-01-02T20:00:00Z,MTR,8.0,95.8,958.3,19.22,20,2,-0.86603,0.5,0.0344,0.99941,8.0,8.0,5.02
2026-01-02T21:00:00Z,MTR,8.0,99.0,958.4,16.41,21,2,-0.70711,0.70711,0.0344,0.99941,8.0,8.0,5.26
2026-01-02T22:00:00Z,MTR,8.0,94.9,961.4,19.4,22,2,-0.5,0.86603,0.0344,0.99941,8.0,8.0,4.35
2026-01-02T23:00:00Z,MTR,8.0,86.0,963.0,19.07,23,2,-0.25882,0.96593,0.0344,0.99941,8.0,8.0,3.44
2026-01-03T00:00:00Z,MTR,8.0,89.6,960.9,20.03,0,3,0.0,1.0,0.05158,0.99867,8.0,8.0,3.8
2026-01-03T01:00:00Z,MTR,8.0,89.5,962.7,15.13,1,3,0.25882,0.96593,0.05158,0.99867,8.0,8.0,3.77
2026-01-03T02:00:00Z,MTR,8.0,78.8,963.2,15.22,2,3,0.5,0.86603,0.05158,0.99867,8.0,8.0,3.08
2026-01-03T03:00:00Z,MTR,8.0,89.6,963.2,16.43,3,3,0.70711,0.70711,0.05158,0.99867,8.0,5.62,3.3
2026-01-03T04:00:00Z,MTR,8.0,87.2,965.6,15.42,4,3,0.86603,0.5,0.05158,0.99867,8.0,5.99,5.69
2026-01-03T05:00:00Z,MTR,8.0,76.5,968.7,14.28,5,3,0.96593,0.25882,0.05158,0.99867,8.0,4.86,6.09
2026-01-03T06:00:00Z,MTR,8.0,77.0,971.5,15.5,6,3,1.0,0.0,0.05158,0.99867,8.0,4.69,6.29
2026-01-03T07:00:00Z,MTR,8.0,68.6,971.1,15.35,7,3,0.96593,-0.25882,0.05158,0.99867,8.0,4.6,6.48
2026-01-03T08:00:00Z,MTR,8.0,81.6,971.7,12.18,8,3,0.86603,-0.5,0.05158,0.99867,5.62,5.11,7.76
2026-01-03T09:00:00Z,MTR,5.62,76.9,973.5,11.06,9,3,0.70711,-0.70711,0.05158,0.99867,5.99,5.74,7.92
2026-01-03T10:00:00Z,MTR,5.99,65.1,976.3,9.91,10,3,0.5,-0.86603,0.05158,0.99867,4.86,5.65,8.0
2026-01-03T11:00:00Z,MTR,4.86,66.4,976.5,10.59,11,3,0.25882,-0.96593,0.05158,0.99867,4.69,5.3,8.0
2026-01-03T12:00:00Z,MTR,4.69,69.8,977.2,13.81,12,3,0.0,-1.0,0.05158,0.99867,4.6,4.71,8.0
2026-01-03T13:00:00Z,MTR,4.6,76.9,976.2,12.73,13,3,-0.25882,-0.96593,0.05158,0.99867,5.11,5.57,8.0
2026-01-03T14:00:00Z,MTR,5.11,76.8,975.1,14.65,14,3,-0.5,-0.86603,0.05158,0.99867,5.74,5.02,8.0
